,method,path,file
155,PUT,/api/v1/fooddeliveryservice/orders/seatno,/mnt/data/train-ticket/train-ticket/ts-food-delivery-service/src/main/java/food_delivery/controller/FoodDeliveryController.java
156,PUT,/api/v1/fooddeliveryservice/orders/dtime,/mnt/data/train-ticket/train-ticket/ts-food-delivery-service/src/main/java/food_delivery/controller/FoodDeliveryController.java
157,DELETE,/api/v1/fooddeliveryservice/orders/d/{orderId},/mnt/data/train-ticket/train-ticket/ts-food-delivery-service/src/main/java/food_delivery/controller/FoodDeliveryController.java
158,GET,/api/v1/consignpriceservice,/mnt/data/train-ticket/train-ticket/ts-consign-price-service/src/main/java/consignprice/controller/ConsignPriceController.java
162,POST,/api/v1/consignpriceservice,/mnt/data/train-ticket/train-ticket/ts-consign-price-service/src/main/java/consignprice/controller/ConsignPriceController.java
163,GET,/api/v1/waitorderservice,/mnt/data/train-ticket/train-ticket/ts-wait-order-service/src/main/java/waitorder/controller/WaitListOrderController.java
166,POST,/api/v1/waitorderservice,/mnt/data/train-ticket/train-ticket/ts-wait-order-service/src/main/java/waitorder/controller/WaitListOrderController.java
167,GET,/api/v1/basicservice,/mnt/data/train-ticket/train-ticket/ts-basic-service/src/main/java/fdse/microservice/controller/BasicController.java
169,POST,/api/v1/basicservice,/mnt/data/train-ticket/train-ticket/ts-basic-service/src/main/java/fdse/microservice/controller/BasicController.java
171,GET,/api/v1/preserveotherservice,/mnt/data/train-ticket/train-ticket/ts-preserve-other-service/src/main/java/preserveOther/controller/PreserveOtherController.java
172,POST,/api/v1/preserveotherservice,/mnt/data/train-ticket/train-ticket/ts-preserve-other-service/src/main/java/preserveOther/controller/PreserveOtherController.java
173,GET,/api/v1/stationservice,/mnt/data/train-ticket/train-ticket/ts-station-service/src/main/java/fdse/microservice/controller/StationController.java
177,POST,/api/v1/stationservice,/mnt/data/train-ticket/train-ticket/ts-station-service/src/main/java/fdse/microservice/controller/StationController.java
180,PUT,/api/v1/stationservice,/mnt/data/train-ticket/train-ticket/ts-station-service/src/main/java/fdse/microservice/controller/StationController.java
181,DELETE,/api/v1/stationservice,/mnt/data/train-ticket/train-ticket/ts-station-service/src/main/java/fdse/microservice/controller/StationController.java
182,GET,/api/v1/auth/hello,/mnt/data/train-ticket/train-ticket/ts-auth-service/src/main/java/auth/controller/AuthController.java
183,POST,/api/v1/auth,/mnt/data/train-ticket/train-ticket/ts-auth-service/src/main/java/auth/controller/AuthController.java
184,GET,/api/v1/users/hello,/mnt/data/train-ticket/train-ticket/ts-auth-service/src/main/java/auth/controller/UserController.java
185,GET,/api/v1/users,/mnt/data/train-ticket/train-ticket/ts-auth-service/src/main/java/auth/controller/UserController.java
186,POST,/api/v1/users/login,/mnt/data/train-ticket/train-ticket/ts-auth-service/src/main/java/auth/controller/UserController.java
187,DELETE,/api/v1/users/{userId},/mnt/data/train-ticket/train-ticket/ts-auth-service/src/main/java/auth/controller/UserController.java
188,GET,/api/v1/userservice/users/hello,/mnt/data/train-ticket/train-ticket/ts-user-service/src/main/java/user/controller/UserController.java
189,GET,/api/v1/userservice/users,/mnt/data/train-ticket/train-ticket/ts-user-service/src/main/java/user/controller/UserController.java
190,GET,/api/v1/userservice/users/{userName},/mnt/data/train-ticket/train-ticket/ts-user-service/src/main/java/user/controller/UserController.java
191,GET,/api/v1/userservice/users/id/{userId},/mnt/data/train-ticket/train-ticket/ts-user-service/src/main/java/user/controller/UserController.java
192,POST,/api/v1/userservice/users/register,/mnt/data/train-ticket/train-ticket/ts-user-service/src/main/java/user/controller/UserController.java
193,PUT,/api/v1/userservice/users,/mnt/data/train-ticket/train-ticket/ts-user-service/src/main/java/user/controller/UserController.java
194,DELETE,/api/v1/userservice/users/{userId},/mnt/data/train-ticket/train-ticket/ts-user-service/src/main/java/user/controller/UserController.java
195,GET,/api/v1/routeplanservice,/mnt/data/train-ticket/train-ticket/ts-route-plan-service/src/main/java/plan/controller/RoutePlanController.java
196,POST,/api/v1/routeplanservice,/mnt/data/train-ticket/train-ticket/ts-route-plan-service/src/main/java/plan/controller/RoutePlanController.java
199,GET,/api/v1/paymentservice,/mnt/data/train-ticket/train-ticket/ts-payment-service/src/main/java/com/trainticket/controller/PaymentController.java
201,POST,/api/v1/paymentservice,/mnt/data/train-ticket/train-ticket/ts-payment-service/src/main/java/com/trainticket/controller/PaymentController.java
203,GET,/api/v1/inside_pay_service,/mnt/data/train-ticket/train-ticket/ts-inside-payment-service/src/main/java/inside_payment/controller/InsidePaymentController.java
209,POST,/api/v1/inside_pay_service,/mnt/data/train-ticket/train-ticket/ts-inside-payment-service/src/main/java/inside_payment/controller/InsidePaymentController.java
212,GET,/api/v1/seatservice,/mnt/data/train-ticket/train-ticket/ts-seat-service/src/main/java/seat/controller/SeatController.java
213,POST,/api/v1/seatservice,/mnt/data/train-ticket/train-ticket/ts-seat-service/src/main/java/seat/controller/SeatController.java
215,GET,/api/v1/executeservice,/mnt/data/train-ticket/train-ticket/ts-execute-service/src/main/java/execute/controller/ExecuteControlller.java
218,GET,api/v1/travelplanservice,/mnt/data/train-ticket/train-ticket/ts-travel-plan-service/src/main/java/travelplan/controller/TravelPlanController.java
219,POST,api/v1/travelplanservice,/mnt/data/train-ticket/train-ticket/ts-travel-plan-service/src/main/java/travelplan/controller/TravelPlanController.java
223,GET,/api/v1/travel2service,/mnt/data/train-ticket/train-ticket/ts-travel2-service/src/main/java/travel2/controller/Travel2Controller.java
229,POST,/api/v1/travel2service,/mnt/data/train-ticket/train-ticket/ts-travel2-service/src/main/java/travel2/controller/Travel2Controller.java
233,PUT,/api/v1/travel2service,/mnt/data/train-ticket/train-ticket/ts-travel2-service/src/main/java/travel2/controller/Travel2Controller.java
234,DELETE,/api/v1/travel2service,/mnt/data/train-ticket/train-ticket/ts-travel2-service/src/main/java/travel2/controller/Travel2Controller.java
235,GET,/api/v1/travelservice,/mnt/data/train-ticket/train-ticket/ts-travel-service/src/main/java/travel/controller/TravelController.java
241,POST,/api/v1/travelservice,/mnt/data/train-ticket/train-ticket/ts-travel-service/src/main/java/travel/controller/TravelController.java
246,PUT,/api/v1/travelservice,/mnt/data/train-ticket/train-ticket/ts-travel-service/src/main/java/travel/controller/TravelController.java
247,DELETE,/api/v1/travelservice,/mnt/data/train-ticket/train-ticket/ts-travel-service/src/main/java/travel/controller/TravelController.java
248,GET,/api/v1/adminorderservice,/mnt/data/train-ticket/train-ticket/ts-admin-order-service/src/main/java/adminorder/controller/AdminOrderController.java
250,POST,/api/v1/adminorderservice,/mnt/data/train-ticket/train-ticket/ts-admin-order-service/src/main/java/adminorder/controller/AdminOrderController.java
251,PUT,/api/v1/adminorderservice,/mnt/data/train-ticket/train-ticket/ts-admin-order-service/src/main/java/adminorder/controller/AdminOrderController.java
252,DELETE,/api/v1/adminorderservice,/mnt/data/train-ticket/train-ticket/ts-admin-order-service/src/main/java/adminorder/controller/AdminOrderController.java
253,GET,/api/v1/admintravelservice,/mnt/data/train-ticket/train-ticket/ts-admin-travel-service/src/main/java/admintravel/controller/AdminTravelController.java
255,POST,/api/v1/admintravelservice,/mnt/data/train-ticket/train-ticket/ts-admin-travel-service/src/main/java/admintravel/controller/AdminTravelController.java
256,PUT,/api/v1/admintravelservice,/mnt/data/train-ticket/train-ticket/ts-admin-travel-service/src/main/java/admintravel/controller/AdminTravelController.java
257,DELETE,/api/v1/admintravelservice,/mnt/data/train-ticket/train-ticket/ts-admin-travel-service/src/main/java/admintravel/controller/AdminTravelController.java
258,GET,/api/v1/adminrouteservice,/mnt/data/train-ticket/train-ticket/ts-admin-route-service/src/main/java/adminroute/controller/AdminRouteController.java
260,POST,/api/v1/adminrouteservice,/mnt/data/train-ticket/train-ticket/ts-admin-route-service/src/main/java/adminroute/controller/AdminRouteController.java
261,DELETE,/api/v1/adminrouteservice,/mnt/data/train-ticket/train-ticket/ts-admin-route-service/src/main/java/adminroute/controller/AdminRouteController.java
