,path_or_url,file,line,text
45,/opencensus-microservices-demo/checkoutservice,/mnt/data/hipster-shop/opencensus-microservices-demo/kubernetes-manifests/checkoutservice.yaml,27,image: gcr.io/opencensus-microservices-demo/checkoutservice
46,/bin/grpc_health_probe,/mnt/data/hipster-shop/opencensus-microservices-demo/kubernetes-manifests/checkoutservice.yaml,32,"command: [""/bin/grpc_health_probe"", ""-addr=:5050""]"
48,/v1beta1,/mnt/data/hipster-shop/opencensus-microservices-demo/kubernetes-manifests/recommendationservice.yaml,15,apiVersion: extensions/v1beta1
49,/opencensus-microservices-demo/recommendationservice,/mnt/data/hipster-shop/opencensus-microservices-demo/kubernetes-manifests/recommendationservice.yaml,28,image: gcr.io/opencensus-microservices-demo/recommendationservice
50,/bin/grpc_health_probe,/mnt/data/hipster-shop/opencensus-microservices-demo/kubernetes-manifests/recommendationservice.yaml,34,"command: [""/bin/grpc_health_probe"", ""-addr=:8080""]"
52,/v1beta1,/mnt/data/hipster-shop/opencensus-microservices-demo/kubernetes-manifests/prometheus.yaml,15,apiVersion: extensions/v1beta1
53,/opencensus-microservices-demo/prometheus,/mnt/data/hipster-shop/opencensus-microservices-demo/kubernetes-manifests/prometheus.yaml,27,image: gcr.io/opencensus-microservices-demo/prometheus
54,/data,/mnt/data/hipster-shop/opencensus-microservices-demo/kubernetes-manifests/prometheus.yaml,39,- mountPath: /data
55,/v1beta1,/mnt/data/hipster-shop/opencensus-microservices-demo/kubernetes-manifests/frontend.yaml,15,apiVersion: extensions/v1beta1
56,/opencensus-microservices-demo/frontend,/mnt/data/hipster-shop/opencensus-microservices-demo/kubernetes-manifests/frontend.yaml,27,image: gcr.io/opencensus-microservices-demo/frontend
57,/_healthz,/mnt/data/hipster-shop/opencensus-microservices-demo/kubernetes-manifests/frontend.yaml,36,"path: ""/_healthz"""
58,/v1beta1,/mnt/data/hipster-shop/opencensus-microservices-demo/kubernetes-manifests/paymentservice.yaml,15,apiVersion: extensions/v1beta1
59,/opencensus-microservices-demo/paymentservice,/mnt/data/hipster-shop/opencensus-microservices-demo/kubernetes-manifests/paymentservice.yaml,28,image: gcr.io/opencensus-microservices-demo/paymentservice
60,/bin/grpc_health_probe,/mnt/data/hipster-shop/opencensus-microservices-demo/kubernetes-manifests/paymentservice.yaml,33,"command: [""/bin/grpc_health_probe"", ""-addr=:50051""]"
62,/v1beta1,/mnt/data/hipster-shop/opencensus-microservices-demo/kubernetes-manifests/grafana.yaml,15,apiVersion: extensions/v1beta1
63,/opencensus-microservices-demo/grafana,/mnt/data/hipster-shop/opencensus-microservices-demo/kubernetes-manifests/grafana.yaml,27,image: gcr.io/opencensus-microservices-demo/grafana
64,/var/lib/grafana,/mnt/data/hipster-shop/opencensus-microservices-demo/kubernetes-manifests/grafana.yaml,39,- mountPath: /var/lib/grafana
65,/v1beta1,/mnt/data/hipster-shop/opencensus-microservices-demo/kubernetes-manifests/productcatalogservice.yaml,15,apiVersion: extensions/v1beta1
66,/opencensus-microservices-demo/productcatalogservice,/mnt/data/hipster-shop/opencensus-microservices-demo/kubernetes-manifests/productcatalogservice.yaml,28,image: gcr.io/opencensus-microservices-demo/productcatalogservice
67,/bin/grpc_health_probe,/mnt/data/hipster-shop/opencensus-microservices-demo/kubernetes-manifests/productcatalogservice.yaml,33,"command: [""/bin/grpc_health_probe"", ""-addr=:3550""]"
69,/v1beta1,/mnt/data/hipster-shop/opencensus-microservices-demo/kubernetes-manifests/cartservice.yaml,15,apiVersion: extensions/v1beta1
70,/opencensus-microservices-demo/cartservice,/mnt/data/hipster-shop/opencensus-microservices-demo/kubernetes-manifests/cartservice.yaml,28,image: gcr.io/opencensus-microservices-demo/cartservice
71,/cartservice_probe,/mnt/data/hipster-shop/opencensus-microservices-demo/kubernetes-manifests/cartservice.yaml,48,"command: [""/cartservice_probe""]"
73,/v1beta1,/mnt/data/hipster-shop/opencensus-microservices-demo/kubernetes-manifests/loadgenerator.yaml,15,apiVersion: extensions/v1beta1
74,http://${FRONTEND_ADDR},/mnt/data/hipster-shop/opencensus-microservices-demo/kubernetes-manifests/loadgenerator.yaml,32,"until timeout -t 2 curl -f ""http://${FRONTEND_ADDR}""; do"
76,/opencensus-microservices-demo/loadgenerator,/mnt/data/hipster-shop/opencensus-microservices-demo/kubernetes-manifests/loadgenerator.yaml,41,image: gcr.io/opencensus-microservices-demo/loadgenerator
77,/v1beta1,/mnt/data/hipster-shop/opencensus-microservices-demo/kubernetes-manifests/currencyservice.yaml,15,apiVersion: extensions/v1beta1
